date,total_const_gas,Methane,Ethane,Propane,CO2,Nitrogen,Methane_pct,Ethane_pct,Propane_pct,CO2_pct,Nitrogen_pct
2016-09-15 00:00:00 +0000,331392.9959400551,297212.5093353736,654.2043266827494,34.95909438082511,26357.47157409911,7133.851609518758,0.8968581502221482,0.001974104265019189,0.0001054913495732082,0.07953539120321919,0.0215268629600403
2016-09-16 00:00:00 +0000,330760.3863376677,296641.1540722826,653.2040261120845,34.89118222957152,26319.55371910098,7111.583337942482,0.8968460744553812,0.001974855675265899,0.000105487790167084,0.07957287149928466,0.02150071057990114
2016-09-17 00:00:00 +0000,330842.2971000025,296715.6815204635,653.6561260425391,35.07958793483846,26317.7939818762,7120.085883685312,0.8968492968442194,0.001975733247447985,0.0001060311460847918,0.07954785168814499,0.02152108707410271
2016-09-18 00:00:00 +0000,330557.4273197039,296422.915283123,654.369037896593,35.05840293448858,26336.69278528431,7108.391810465624,0.8967365147007658,0.001979592602721068,0.0001060584335337935,0.07967357744411641,0.02150425681886321
2016-09-19 00:00:00 +0000,327883.0305897611,294084.1712631306,647.824609859961,34.44128400234892,26073.47252887025,7043.120903898045,0.8969179366622397,0.001975779620844431,0.0001050413738716505,0.07952065247772067,0.02148058986532371
2016-09-20 00:00:00 +0000,326866.7147964437,293205.1997618898,644.070870346384,34.29852428397961,25946.30129604324,7036.844343880366,0.8970176114275916,0.001970438840025297,0.0001049312234356411,0.07937884196070957,0.0215281765482379
2016-09-21 00:00:00 +0000,326928.4726285545,293281.3516041301,644.5179982382031,33.79866551315907,25908.66580507069,7060.138555602335,0.8970810931397427,0.001971434280581867,0.0001033824470576474,0.07924872861871309,0.02159536151390471
2016-09-22 00:00:00 +0000,328298.5088883299,294442.2910634929,646.9561858597928,34.71683917950128,26068.39001492737,7106.154784870301,0.8968736777407872,0.00197063394546167,0.0001057477820933696,0.07940453370683594,0.02164540682482188
2016-09-23 00:00:00 +0000,329689.7838134664,295679.5631516505,650.6256775636862,34.89127359119606,26199.97708041561,7124.72663024541,0.8968417514536686,0.001973448100326338,0.0001058306180665186,0.07946857429843555,0.0216103955295032
2016-09-24 00:00:00 +0000,325467.8551915537,292000.5871245496,638.9306538981348,34.46491677203694,25749.98140225813,7043.891094075813,0.8971718173295271,0.001963114463399444,0.0001058934583624323,0.07911681903917364,0.0216423557095374
2016-09-25 00:00:00 +0000,323672.8548274039,290313.0730296318,638.9424511414528,34.19873888155416,25695.75646060543,6990.884147143666,0.8969336436459556,0.001974037802713372,0.0001056583472215808,0.07938804900493586,0.02159861119917363
2016-09-26 00:00:00 +0000,326038.4836740458,292397.3258110177,644.5781519969036,34.59910813832102,25938.55463589676,7023.425966996045,0.8968184446083349,0.001977000214003311,0.0001061197063255612,0.07955672699615611,0.02154170847518005
2016-09-27 00:00:00 +0000,326133.4225050518,292557.9593813869,642.7504122470591,34.70239269456592,25861.11849277511,7036.891825948158,0.8970499163631571,0.001970820430822612,0.0001064055086044681,0.07929613068827533,0.02157672700914042
2016-09-28 00:00:00 +0000,325414.0447957434,291977.7745780838,637.6107040029771,34.60449404082831,25726.75290155192,7037.302118063921,0.8972500703261072,0.001959382866843359,0.0001063398909612181,0.07905852040805475,0.02162568650803351
2016-09-29 00:00:00 +0000,326095.0061223857,292511.2966938253,642.733503069007,34.49632636111326,25867.8958486872,7038.583750443134,0.8970125000443697,0.001971000754386851,0.0001057861227968838,0.07932625573229048,0.02158445734615606
2016-09-30 00:00:00 +0000,324023.6800002324,290689.4814478892,636.9421685272744,34.33706518137257,25659.40056000325,7003.518758631297,0.8971241899594521,0.001965727222549962,0.0001059708512086152,0.07918989303493142,0.02161421893185792
2016-10-01 00:00:00 +0000,327866.4214993079,294122.7666154761,646.7213429211654,34.45045298242116,25988.62928868796,7073.853799240246,0.8970810895195529,0.001972514720976178,0.0001050746606647972,0.07926590704178843,0.02157541405701766
2016-10-02 00:00:00 +0000,325465.9015353495,291967.0901204872,642.6062194689924,34.26467645544977,25808.32965136029,7013.61086757761,0.8970742825689715,0.001974419490452205,0.000105278851928297,0.07929657002350274,0.0215494490651453
2016-10-03 00:00:00 +0000,326920.6222515202,293331.9630232938,643.8211575520661,34.31402663869133,25866.0453691904,7044.478674845207,0.8972574473983947,0.001969350092135622,0.0001049613401637644,0.07912026225525187,0.02154797891405412
2016-10-04 00:00:00 +0000,327634.3008232074,293987.0341111703,643.6904796911413,34.26980207027412,25860.22225033154,7109.084179944124,0.8973023684409854,0.001964661447454731,0.000104597723694279,0.07893014310576049,0.02169822928210502
2016-10-05 00:00:00 +0000,323945.83786034,290665.6665242608,637.4624861204678,34.3254174104423,25576.78167189737,7031.601760650921,0.8972662480990818,0.00196780576139179,0.0001059603594142818,0.07895388266394109,0.0217061031161709
2016-10-06 00:00:00 +0000,326224.889538329,292730.029804912,641.8022365021325,33.68322059251188,25735.96863200441,7083.405644317993,0.8973258607556932,0.001967361342080324,0.0001032515349769299,0.07889026698246648,0.02171325938478322
2016-10-07 00:00:00 +0000,325123.2985822294,291683.3681500559,639.6121371297438,34.16409647182549,25704.73087230216,7061.423326269737,0.8971469267874819,0.001967290993659671,0.0001050804313957364,0.07906148524080929,0.02171921654665354
2016-10-08 00:00:00 +0000,327463.800607919,293757.5034487161,644.375364321955,34.47534254451769,25941.23981751811,7086.206634818371,0.8970686314132158,0.001967775867517895,0.0001052798583553848,0.07921864880746998,0.02163966405344105
2016-10-09 00:00:00 +0000,326059.0509206978,292521.0485869756,640.4407344889337,34.18863061887831,25794.00061862506,7069.372349989374,0.8971413238214965,0.001964186341954047,0.0001048541070163192,0.07910837176821241,0.02168126396132075
2016-10-10 00:00:00 +0000,323091.6099907569,289844.1614735668,636.08867616747,34.26738845097923,25570.3489311065,7006.743521465131,0.8970959087481684,0.001968756403750835,0.0001060609046826055,0.07914272033197649,0.0216865536114218
2016-10-11 00:00:00 +0000,324051.082829735,290778.3280520174,635.1223295625052,34.10454315429661,25559.93283152725,7043.595073473544,0.8973225008626188,0.001959945092657553,0.0001052443425168742,0.07887624570894312,0.02173606399326379
2016-10-12 00:00:00 +0000,322617.5477561437,289497.0696814499,632.943288192268,33.63124356494396,25445.66563864033,7008.237904296261,0.8973382622704437,0.001961899755901343,0.0001042449296352743,0.07887254061540971,0.02172305242860988
2016-10-13 00:00:00 +0000,325797.6755387709,292264.9348304899,640.9974366554255,33.29293860650407,25797.99739604669,7060.452936972309,0.8970749541020269,0.001967470871593573,0.000102188999818515,0.07918410514557722,0.02167128088098374
2016-10-14 00:00:00 +0000,329280.865245178,295341.5603402271,648.6070255932223,34.13907060986587,26126.27596289143,7130.282845856351,0.8969290095867546,0.001969768346880036,0.0001036776630930145,0.079343438141898,0.02165410626137429
2016-10-15 00:00:00 +0000,330157.8769454128,296134.5553244443,650.9199724779338,34.78349341183947,26213.165069173,7124.453085905717,0.8969483268557795,0.001971541550061381,0.0001053541224993716,0.0793958493787716,0.02157892809288827
2016-10-16 00:00:00 +0000,329250.1354142746,295368.6846420723,646.7245109560655,34.64094299094084,26081.10131048684,7118.984007768461,0.8970951045181152,0.001964234608870648,0.0001052116286827166,0.07921363882712042,0.0216218104172109
2016-10-17 00:00:00 +0000,329802.4569976986,295893.445438505,647.7754138142518,34.8282341374494,26093.75635433365,7132.651556908332,0.8971838722249716,0.001964131558361228,0.0001056033191944729,0.07911935099536185,0.02162704190211083
2016-10-18 00:00:00 +0000,328511.0964269989,294746.9793572724,645.1217460876162,34.61184110065702,25988.17842236175,7096.205060176415,0.897220771423076,0.001963774597279011,0.0001053597320672192,0.07910898202532038,0.02160111222225737
2016-10-19 00:00:00 +0000,327768.1023596372,294145.5013834952,641.2504370720277,34.6226751119588,25849.91390076516,7096.813963192881,0.8974195453002004,0.001956415015541775,0.0001056316183994309,0.07886647210228481,0.02165193596357353
2016-10-20 00:00:00 +0000,327885.5700309424,294256.8462970238,641.4490971692466,34.61095137349495,25854.88523484774,7097.778450528156,0.8974376221230318,0.001956319996359441,0.0001055580194341237,0.07885337934331124,0.02164712051786342
2016-10-21 00:00:00 +0000,329524.4807177898,295673.2985187014,646.8720815211996,34.83938410830136,26055.35070482855,7114.120028630374,0.8972726332036036,0.001963047115990121,0.000105726239314336,0.07906954484253562,0.02158904859855624
2016-10-22 00:00:00 +0000,327637.2993678118,294049.4734242729,641.5001059295118,34.69763699635706,25830.74930113433,7080.878899478695,0.8974847308033981,0.001957958105402864,0.0001059025851553148,0.07883946470983529,0.02161194379620852
2016-10-23 00:00:00 +0000,329279.6363488808,295476.844849663,646.3437437827062,34.85991027636299,25995.6089348828,7125.978910275829,0.8973432069045327,0.00196290226431703,0.0001058671913723446,0.07894690732511542,0.02164111631466229
2016-10-24 00:00:00 +0000,328939.1443356031,295140.3426538996,646.0591404786124,34.72127238443932,25999.23929977016,7118.781969070184,0.8972490739891391,0.001964068891172967,0.0001055553070601249,0.07903966355930024,0.02164163825332744
2016-10-25 00:00:00 +0000,329050.5631921866,295289.4990277256,644.6228904588198,34.76093330743589,25950.46395911493,7131.216381579913,0.897398552256109,0.001959039012743822,0.0001056400966775835,0.07886466963424765,0.02167209900022212
2016-10-26 00:00:00 +0000,327286.4129212063,293740.7606066318,639.7135977527665,34.75787467315097,25768.45906825725,7102.72177389135,0.8975036818205754,0.001954598701617279,0.0001062001760565565,0.07873366583800401,0.02170185346374681
2016-10-27 00:00:00 +0000,328555.7207890892,294884.9896461239,644.1665905894023,34.86891570679566,25897.80162940796,7093.894007261147,0.8975189625001853,0.00196060074389304,0.0001061278605134353,0.07882316450679798,0.02159114438861027
2016-10-28 00:00:00 +0000,329643.0507759017,295874.4876462181,645.3571184773506,34.93714176672034,25959.046904385,7129.221965054508,0.8975602153596127,0.001957745254930546,0.0001059847665057297,0.07874895843635578,0.0216270961825951
2016-10-29 00:00:00 +0000,322434.6595925076,289367.6434179714,633.2933054594442,34.1916827297207,25371.47258466168,7028.058601685278,0.8974458384333552,0.001964098109861388,0.000106042206420774,0.07868717530778517,0.02179684594257741
2016-10-30 00:00:00 +0000,325275.1821254714,291936.4658104954,638.6609588406404,34.3803894460282,25602.37847062734,7063.29649606204,0.8975061174445335,0.001963448163082678,0.0001056963191024095,0.07870990434416694,0.02171483372911447
2016-10-31 00:00:00 +0000,329549.6773888222,295882.1675145479,640.7670257635061,34.92663280293414,25832.12028844239,7159.695927265404,0.8978378308817115,0.001944371576511942,0.0001059829069768005,0.07838611918276628,0.02172569545203339
2016-11-01 00:00:00 +0000,328194.255151487,294570.1381507855,641.833614415822,34.55387718160728,25819.44138937163,7128.288119732421,0.8975481244021735,0.001955651582382411,0.0001052848325015866,0.07867121676902591,0.02171972241391662
2016-11-02 00:00:00 +0000,325604.4716297348,292352.7553241916,634.1924242350959,34.54769716081701,25500.93161526772,7082.044568879507,0.8978769666795124,0.001947738681415518,0.0001061032638400106,0.07831873895229065,0.02175045242294136
2016-11-03 00:00:00 +0000,325257.4945007213,292014.893778112,635.3845310127119,34.46219321206449,25524.31798609426,7048.436012290254,0.8977960499460971,0.001953481600748489,0.0001059535715386508,0.0784741886586649,0.02167032622295079
2016-11-04 00:00:00 +0000,327362.319187314,293831.9144441408,641.5207258089042,34.48930139230409,25767.1051949549,7087.289521017035,0.897574024932334,0.001959665753228707,0.0001053551351845403,0.07871127397594949,0.02164968020330326
2016-11-05 00:00:00 +0000,328725.9039930362,295038.8285814112,644.601492193656,34.61883395108012,25888.44611422961,7119.408971250703,0.8975222974446861,0.001960908721715194,0.0001053121568168643,0.07875389739525376,0.02165758428152812
2016-11-06 00:00:00 +0000,327923.9816287099,294346.4534417486,642.0938167036328,34.65744235701692,25786.61283188542,7114.164096015323,0.8976057560042091,0.001958056905489272,0.0001056874284853543,0.07863594697713254,0.02169455268468378
2016-11-07 00:00:00 +0000,325266.6009797601,292021.9135797701,635.4693391553599,34.25682804143097,25525.90755703348,7049.053675759622,0.8977924960636872,0.001953687643432233,0.0001053192302506418,0.07847687859787929,0.02167161846475056
2016-11-08 00:00:00 +0000,324261.4095893591,291135.7416506183,633.0087655157071,34.20096131764316,25440.49208937688,7017.966122530584,0.8978427066585235,0.001952155720032618,0.0001054734245464326,0.07845673687039854,0.02164292732649887
2016-11-09 00:00:00 +0000,325065.4568794268,291795.5885874053,636.4492382314822,34.28668737385713,25544.27845041349,7054.853916002649,0.8976517880078474,0.001957911013804072,0.0001054762560839392,0.07858195298766663,0.02170287173459785
2016-11-10 00:00:00 +0000,326354.3712506035,292958.2413659518,639.140303661591,34.42262039317202,25635.72250989244,7086.844450704558,0.8976691203593309,0.001958424216021311,0.0001054762044744892,0.07855179758020486,0.02171518163996846
2016-11-11 00:00:00 +0000,326917.5727743666,293414.8560469919,641.3717087714906,34.51346025086216,25728.52099795152,7098.310560400844,0.8975193763888069,0.00196187590446279,0.0001055723617362191,0.07870033042154312,0.02171284492345105
2016-11-12 00:00:00 +0000,328210.5751929275,294597.6774824416,643.261698750104,34.74891828004218,25825.74846377809,7109.138629677658,0.8975874019576374,0.001959905461217952,0.0001058738532712305,0.07868652144617001,0.02166029728170334
2016-11-13 00:00:00 +0000,327534.9425572783,294001.6003979345,640.3390556810115,34.65404411906208,25746.50714439538,7111.841915148347,0.8976190390633524,0.0019550251667241,0.0001058025865835731,0.07860690204036141,0.02171323114297843
2016-11-14 00:00:00 +0000,326081.3462989773,292716.9792814488,637.0264944600081,34.59187237341214,25616.99146265199,7075.757188043145,0.8976808474443139,0.001953581527095179,0.0001060835670792881,0.07856012542086444,0.02169936204064715
2016-11-15 00:00:00 +0000,308294.9120555283,277305.0274280973,586.5380532801069,33.94904399438946,23534.63673235047,6834.760797806065,0.8994797402889045,0.001902522650696431,0.0001101187293946478,0.07633806401615717,0.02216955431484717
2016-11-16 00:00:00 +0000,327253.5431931642,293944.5935940385,637.4112788309899,34.34144262366132,25536.27336024489,7100.923517426174,0.8982166876663431,0.001947759748027395,0.0001049383370721551,0.07803207601994362,0.02169853822861375
2016-11-17 00:00:00 +0000,323503.7134424344,290663.9311720809,626.0235292026176,34.36891922742714,25122.15605748852,7057.233764434985,0.8984871551522476,0.001935135527629777,0.0001062396436248108,0.07765646888612564,0.021815000790372
2016-11-18 00:00:00 +0000,321085.3510162955,288641.6019970652,617.6729350613502,34.19947488996585,24776.80577306143,7015.07083621748,0.8989559974737568,0.00192370325555588,0.0001065120996075283,0.07716579312833234,0.02184799404274739
2016-11-19 00:00:00 +0000,324578.640069974,291713.099678727,626.6920841960252,34.54336520623289,25126.63822630599,7077.666715538761,0.8987439827089,0.001930786585527995,0.0001064252570618507,0.07741309847403724,0.0218057069744729
2016-11-20 00:00:00 +0000,322374.2808187616,289667.438409498,623.9346033229758,34.47870775728452,25020.45852138055,7027.97057680273,0.8985438840648353,0.001935435425364318,0.0001069524146582537,0.07761307278556451,0.0218006553095774
2016-11-21 00:00:00 +0000,323638.7090121474,290748.4995488058,628.2420222891964,34.60283599674664,25178.24573798166,7049.118867074063,0.8983736847680134,0.001941183192229382,0.00010691810044097,0.07779738652040111,0.02178082741891509
2016-11-22 00:00:00 +0000,326008.0159597056,292855.2360687156,632.0374388525915,34.67409744934998,25344.7405016297,7141.327853058391,0.8983068566783716,0.001938717479053371,0.0001063596468549279,0.07774269116365008,0.02190537503206993
2016-11-23 00:00:00 +0000,325786.6116988875,292624.8279700385,632.267882704443,34.66286347511529,25397.98898524552,7096.863997423978,0.8982101088933045,0.001940742375530228,0.00010639744615151,0.07795897091289906,0.02178378037211469
2016-11-24 00:00:00 +0000,326149.8534069973,292968.2593466542,632.9307988541606,34.55032215110707,25410.69705730747,7103.415882030356,0.8982627350166665,0.001940613470288261,0.0001059338883344285,0.07791110985292353,0.02177960777178739
2016-11-25 00:00:00 +0000,321736.5534835178,289182.9349003682,618.4408255188798,34.4744862468394,24857.78576552513,7042.917505858791,0.8988190237301796,0.001922196339902552,0.0001071512884488131,0.07726130430746522,0.02189032433400388
2016-11-26 00:00:00 +0000,325173.0253581514,292129.4837804665,629.1886705045904,34.59819324611761,25291.70075905641,7088.053954877681,0.8983816645267851,0.001934935008251655,0.0001063993337332042,0.07777920918009629,0.02179779195113362
2016-11-27 00:00:00 +0000,328710.4911598501,295239.2523417526,638.3932874969701,34.96770278257882,25637.64595300168,7160.231874816195,0.8981741084685351,0.001942114123721482,0.0001063784202907422,0.07799460815059363,0.02178279083685897
2016-11-28 00:00:00 +0000,328353.1328186952,294872.5280150755,638.8126868434853,34.94033181652306,25649.92894616957,7156.922838790093,0.8980347636210724,0.001945505076682837,0.0001064108373706788,0.07811690032003604,0.02179642014483805
2016-11-29 00:00:00 +0000,310240.4616222029,278875.5666636592,591.9329888950018,34.19822622356166,23809.10004790796,6929.663695517156,0.8989013399653251,0.001907981266530707,0.0001102313542364656,0.07674401953701841,0.02233642787688923
2016-11-30 00:00:00 +0000,297371.624219197,267570.1051383587,557.0613289220159,33.93307077483944,22381.53390121601,6828.990779925469,0.8997835817082831,0.001873283405518873,0.0001141099822955094,0.07526452451535272,0.02296450038854992
2016-12-01 00:00:00 +0000,314309.792028743,282622.6170414776,597.6891525636338,34.14334784165463,24039.79092532786,7015.551561532182,0.8991848940412025,0.001901592529796133,0.0001086296027281654,0.07648438430810794,0.02232049951816526
2016-12-02 00:00:00 +0000,325343.9720137683,292386.4769961497,626.7373296375251,34.47355547840471,25184.50242256526,7111.781709937361,0.8986995369435526,0.001926383715543382,0.0001059603325828512,0.07740884906113914,0.02185926994718192
